YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2026,5,27,9.46,Medium
2025,1,28,2.19,Low
2025,2,28,2.98,Low
2025,3,28,2.99,Low
2025,4,28,2.92,Low
2025,5,28,2.92,Low
2025,6,28,2.94,Low
2025,7,28,3.01,Low
2025,8,28,2.86,Low
2025,9,28,2.48,Low
2025,10,28,2.66,Low
2025,11,28,3.3,Low
2025,12,28,3.63,Medium
2026,1,28,3.7,Medium
2026,2,28,3.39,Low
2026,3,28,3.32,Low
2026,4,28,3.34,Low
2026,5,28,3.63,Low
2025,1,29,9.57,High
2025,2,29,4.63,Medium
2025,3,29,2.2,Low
2025,4,29,2.65,Low
2025,5,29,4.52,Low
2025,6,29,5.28,Medium
2025,7,29,5.52,Medium
2025,8,29,5.93,Medium
2025,9,29,6.53,Medium
2025,10,29,7.68,Medium
2025,11,29,8.42,Medium
2025,12,29,9.48,High
2026,1,29,10.19,High
2026,2,29,9.02,Medium
2026,3,29,9.14,High
2026,4,29,8.62,High
2026,5,29,10.36,High
2025,1,30,1.57,Low
2025,2,30,1.22,Low
2025,3,30,1.19,Low
2025,4,30,0.99,Low
2025,5,30,1.31,Low
2025,6,30,1.59,Low
2025,7,30,1.51,Low
2025,8,30,1.52,Low
2025,9,30,1.37,Low
2025,10,30,1.24,Low
2025,11,30,1.23,Low
2025,12,30,1.01,Low
2026,1,30,1.0,Low
2026,2,30,0.99,Low
2026,3,30,1.29,Low
2026,4,30,1.7,Low
2026,5,30,1.82,Low
2025,1,31,0.2,Low
2025,2,31,3.79,Low
2025,3,31,15.43,Low
2025,4,31,24.0,High
2025,5,31,24.0,High
2025,6,31,24.0,High
2025,7,31,9.23,Medium
2025,8,31,3.01,Low
2025,9,31,1.17,Low
2025,10,31,1.73,Low
2025,11,31,2.37,Low
2025,12,31,3.19,Low
2026,1,31,3.08,Low
2026,2,31,2.56,Low
2026,3,31,2.24,Low
2026,4,31,2.18,Low
2026,5,31,1.95,Low
2025,1,32,4.2,Medium
2025,2,32,5.45,Medium
2025,3,32,5.64,Medium
2025,4,32,6.02,Medium
2025,5,32,9.06,Medium
2025,6,32,11.31,High
2025,7,32,8.42,High
2025,8,32,9.58,Medium
2025,9,32,10.83,High
2025,10,32,8.19,High
2025,11,32,9.03,Medium
2025,12,32,9.53,High
2026,1,32,10.24,High
2026,2,32,9.21,Medium
2026,3,32,9.23,High
2026,4,32,8.83,High
2026,5,32,10.59,High
2025,1,33,4.55,Medium
2025,2,33,3.44,Low
2025,3,33,4.1,Low
2025,4,33,5.72,Medium
2025,5,33,6.27,Medium
2025,6,33,8.35,Medium
2025,7,33,11.38,High
2025,8,33,8.84,High
2025,9,33,10.01,Medium
2025,10,33,3.91,Medium
2025,11,33,4.24,Low
2025,12,33,6.52,Medium
2026,1,33,7.82,Medium
2026,2,33,8.3,Medium
2026,3,33,9.76,High
2026,4,33,10.32,High
2026,5,33,14.12,High
2025,1,34,2.01,Low
2025,2,34,2.01,Low
2025,3,34,2.0,Low
2025,4,34,2.02,Low
2025,5,34,2.05,Low
2025,6,34,2.1,Low
2025,7,34,2.17,Low
2025,8,34,2.83,Low
2025,9,34,3.03,Low
2025,10,34,3.72,Medium
2025,11,34,3.6,Medium
2025,12,34,3.61,Low
2026,1,34,3.6,Low
2026,2,34,3.51,Low
2026,3,34,3.52,Low
2026,4,34,3.59,Low
2026,5,34,3.77,Low
2025,1,35,0.0,Low
